Line #,Name,Description,Designator,Quantity,Link,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1

"1","USB - TypeC - 16P","","P16","1","","","","","","","",""
"2","LM1117","3V3 5V LDO, AMS1117, LDI1117","U3","1","","","","","","","",""
"3","10uH","6.8-10uH","L2","1","","","","","","","",""
"4","ESP32-WROOM-32","Bluetooth, WiFi Transceiver Module 2.4GHz ~ 2.5GHz Surface Mount","IC1","1","","","","","","","",""
"5","BQ24650","BQ24650 Stand-Alone Synchronous Buck Battery Charge Controller for Solar Power
With Maximum Power Point Tracking","U1","1","","","","","","","",""
"6","1uF","C 0805","C9","1","","","","","","","",""
"7","2.2uF","C 0805","C16","1","","","","","","","",""
"8","10uF","C 0805","C6, C7, C8, C14, C17","5","","","","","","","",""
"9","22pF","C 0805","C15","1","","","","","","","",""
"10","22uF 6.3V","C 0805","C20","1","","","","","","","",""
"11","100nF","C 0805","C3, C4, C5, C13, C18, C19, C22, C23, C27, C28, C29, C30, C32, C33","14","","","","","","","",""
"12","100uF","C 0805","C31","1","","","","","","","",""
"13","220pF","C 0805","C26","1","","","","","","","",""
"14","4.7uF 50V","C 1206","C12","1","","","","","","","",""
"15","10uF 50V","C 1206","C10, C11, C21","3","","","","","","","",""
"16","10uF","C 3216","C1, C2","2","","","","","","","",""
"17","100uF","C Tan 7343","C24, C25","2","","","","","","","",""
"18","INA226","Current Sensing IC","U4","1","https://shopee.vn/5PCS-INA226-INA226AIDGSR-MSOP-10-36V-16bit-TI-226-D%C3%B2ng-%C4%91i%E1%BB%87n-hai-chi%E1%BB%81u-M%C3%A0n-h%C3%ACnh-%C4%91i%E1%BB%87n-Chip-IC-SMD-i.1230861975.29207033305?extraParams=%7B%22display_model_id%22%3A256320878163%2C%22model_selection_logic%22%3A3%7D&sp_atk=f70c82b7-6dcf-419e-be3a-903522ecc06c&xptdk=f70c82b7-6dcf-419e-be3a-903522ecc06c","","","","","","",""
"19","F1A","Fuse 5A","F1","1","","","","","","","",""
"20","10uH","Inductor","L1","1","","","","","","","",""
"21","LED","LED Single colour Green and Red","D3, D4","2","","","","","","","",""
"22","LED_S","LED Single colour Green and Red","LED_S1","1","","","","","","","",""
"23","Testing","LED Single colour Green and Red","LED","1","","","","","","","",""
"24","AO4407A","MFET-ChP","Q1","1","https://shopee.vn/Set-10-Linh-Ki%E1%BB%87n-B%C3%A1n-D%E1%BA%ABn-AO4406-AO4407-AO4407A-AO4409-AO4423-AO4433-AO4435-AO4441-AO4354-AO4456-AO4466-AO4447A-SOP8-i.992251314.25806359130?extraParams=%7B%22display_model_id%22%3A225956035657%2C%22model_selection_logic%22%3A3%7D&sp_atk=2f0dc788-6e11-436c-a4c0-29b72357096e&xptdk=2f0dc788-6e11-436c-a4c0-29b72357096e","","","","","","",""
"25","AON6508","MFET-CHP","Q2, Q3","2","","","","","","","",""
"26","MP1584","MP1584, The wide 4.5V to 28V input range accommodates a   variety   of   step-down   applications, SOIC8E","U2","1","","","","","","","",""
"27","2SC1815","NPN 600mW, ECB","Q4, Q5","2","","","","","","","",""
"28","0R","R 0805","R6, R38, R39","3","","","","","","","",""
"29","1k","R 0805","R27, R28, R29, R34, R35, R36, R37, R40, R41","9","","","","","","","",""
"30","5k1","R 0805","R30, R31","2","","","","","","","",""
"31","10k","R 0805","R5, R16, R17, R18, R25, R26, R32, R33, R42","9","","","","","","","",""
"32","10R","R 0805","R1, R2, R3","3","","","","","","","",""
"33","68.1k","R 0805","R24","1","","","","","","","",""
"34","100k","R 0805","R15","1","","","","","","","",""
"35","200k","R 0805","R23","1","","","","","","","",""
"36","220","R 0805","R21, R44","2","","","","","","","",""
"37","1000","R 0805","R7","1","","","","","","","",""
"38","0R","R 0805 1%","R8","1","","","","","","","",""
"39","24.9k","R 0805 1%","R20","1","","","","","","","",""
"40","36k","R 0805 1%","R11","1","","","","","","","",""
"41","47k","R 0805 1%","R22","1","","","","","","","",""
"42","100k","R 0805 1%","R13","1","","","","","","","",""
"43","249k","R 0805 1%","R19","1","","","","","","","",""
"44","499k","R 0805 1%","R9, R12","2","","","","","","","",""
"45","2R","R 2512","R10","1","","","","","","","",""
"46","0.05R","R 2512 1%","R4, R14","2","","","","","","","",""
"47","1N5819","Schottky Rectifiers","D1","1","","","","","","","",""
"48","SS34-HF","Schottky Rectifiers","D5","1","","","","","","","",""
"49","Diode Schottky","SS54","D2, D6","2","","","","","","","",""
"50","SW-SMD","Switch","S1, S2, S3","3","","","","","","","",""
"51","CH340C","USB to serial chip CH340","U5","1","","","","","","","",""
